"Date","Price","Open","High","Low","Vol.","Change %"
"11/18/2020","17,408.0","17,408.0","17,728.0","17,216.0","12.38M","0.00%"
"11/17/2020","17,408.0","16,768.0","17,408.0","16,768.0","26.22M","3.82%"
"11/16/2020","16,768.0","16,960.0","17,152.0","16,768.0","14.04M","-1.13%"
"11/13/2020","16,960.0","16,896.0","17,088.0","16,832.0","9.74M","0.38%"
"11/12/2020","16,896.0","16,256.0","16,896.0","16,256.0","29.62M","3.94%"
"11/11/2020","16,256.0","16,192.0","16,320.0","16,128.0","7.08M","0.40%"
"11/10/2020","16,192.0","16,448.0","16,640.0","16,192.0","13.84M","-0.39%"
"11/09/2020","16,256.0","16,064.0","16,320.0","16,064.0","9.22M","1.20%"
"11/06/2020","16,064.0","15,936.0","16,064.0","15,872.0","5.74M","0.80%"
"11/05/2020","15,936.0","16,320.0","16,448.0","15,936.0","13.36M","-2.35%"
"11/04/2020","16,320.0","16,064.0","16,448.0","16,064.0","19.70M","2.00%"
"11/03/2020","16,000.0","15,680.0","16,128.0","15,680.0","12.04M","2.04%"
"11/02/2020","15,680.0","15,488.0","15,680.0","15,360.0","5.90M","1.66%"
"10/30/2020","15,424.0","15,424.0","15,552.0","15,232.0","6.87M","0.84%"
"10/29/2020","15,296.0","15,104.0","15,552.0","14,848.0","13.31M","0.42%"
"10/28/2020","15,232.0","15,616.0","15,680.0","15,168.0","23.31M","-2.46%"
"10/27/2020","15,616.0","15,808.0","15,936.0","15,616.0","18.32M","-1.61%"
"10/26/2020","15,872.0","16,384.0","16,512.0","15,872.0","18.23M","-3.13%"
"10/23/2020","16,384.0","16,512.0","16,576.0","16,320.0","12.55M","0.00%"
"10/22/2020","16,384.0","16,192.0","16,640.0","16,000.0","14.76M","1.59%"
"10/21/2020","16,128.0","16,256.0","16,384.0","16,128.0","13.86M","-0.40%"
"10/20/2020","16,192.0","16,256.0","16,384.0","16,000.0","17.75M","0.00%"
"10/19/2020","16,192.0","16,000.0","16,448.0","15,936.0","22.13M","2.43%"
"10/16/2020","15,808.0","15,680.0","16,000.0","15,488.0","13.62M","0.82%"
"10/15/2020","15,680.0","15,360.0","15,872.0","15,296.0","25.55M","2.08%"
"10/14/2020","15,360.0","15,040.0","15,424.0","14,976.0","31.71M","2.56%"
"10/13/2020","14,976.0","14,976.0","14,976.0","14,784.0","8.32M","0.43%"
"10/12/2020","14,912.0","15,168.0","15,232.0","14,912.0","13.51M","-0.85%"
"10/09/2020","15,040.0","14,848.0","15,232.0","14,784.0","13.63M","1.29%"
"10/08/2020","14,848.0","14,848.0","15,168.0","14,720.0","21.72M","-0.85%"
"10/07/2020","14,976.0","15,360.0","15,424.0","14,912.0","27.65M","-2.50%"
"10/06/2020","15,360.0","15,104.0","15,488.0","15,104.0","17.15M","1.69%"
"10/05/2020","15,104.0","14,720.0","15,104.0","14,656.0","20.14M","2.61%"
"10/02/2020","14,720.0","14,336.0","15,040.0","14,336.0","36.75M","2.22%"
"10/01/2020","14,400.0","14,272.0","14,592.0","14,208.0","10.17M","0.00%"
"09/30/2020","14,400.0","14,336.0","14,400.0","14,208.0","5.66M","0.45%"
"09/29/2020","14,336.0","14,528.0","14,592.0","14,272.0","9.25M","-0.88%"
"09/28/2020","14,464.0","14,208.0","14,592.0","14,208.0","12.82M","1.80%"
"09/25/2020","14,208.0","14,208.0","14,336.0","14,016.0","10.03M","0.00%"
"09/24/2020","14,208.0","14,336.0","14,464.0","14,080.0","8.75M","-1.33%"
"09/23/2020","14,400.0","14,272.0","14,592.0","14,272.0","10.17M","0.90%"
"09/22/2020","14,272.0","14,080.0","14,272.0","13,888.0","13.78M","1.36%"
"09/21/2020","14,080.0","13,952.0","14,272.0","13,824.0","11.32M","1.38%"
"09/18/2020","13,888.0","13,760.0","13,888.0","13,696.0","5.13M","0.93%"
"09/17/2020","13,760.0","13,632.0","13,952.0","13,504.0","19.26M","1.42%"
"09/16/2020","13,568.0","13,568.0","13,632.0","13,504.0","3.43M","-0.47%"
"09/15/2020","13,632.0","13,568.0","13,696.0","13,504.0","7.24M","0.47%"
"09/14/2020","13,568.0","13,312.0","13,632.0","13,312.0","8.24M","1.92%"
"09/11/2020","13,312.0","13,376.0","13,440.0","13,248.0","3.67M","-0.48%"
"09/10/2020","13,376.0","13,376.0","13,568.0","13,376.0","5.08M","0.00%"
"09/09/2020","13,376.0","13,184.0","13,376.0","12,992.0","7.85M","1.46%"
"09/08/2020","13,184.0","13,312.0","13,376.0","13,184.0","19.18M","-0.96%"
